bairro,endereco,area,quartos,banheiros,vaga,aluguel,condominio,endereco_completo,latitude,longitude,aluguel_num
Vila Buarque,Rua General Jardim,37.0,1.0,1.0,0,R$ 1.529,R$ 990 Condominio,"Rua General Jardim, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5446395,-46.6489344,1529.0
Sé,Rua Riachuelo,50.0,2.0,1.0,0,R$ 1.530,R$ 800 Condominio,"Rua Riachuelo, Sé, São Paulo, São Paulo, Brasil",-23.5506284,-46.6367381,1530.0
Centro,Avenida Duque de Caxias,35.0,1.0,1.0,0,R$ 1.530,R$ 250 Condominio,"Avenida Duque de Caxias, Centro, São Paulo, São Paulo, Brasil",-23.5378316,-46.6442562,1530.0
Centro,Rua dos Andradas,30.0,1.0,1.0,0,R$ 1.530,R$ 495 Condominio,"Rua dos Andradas, Centro, São Paulo, São Paulo, Brasil",-23.5384537,-46.6378847,1530.0
Vila Buarque,Rua Marquês de Itu,29.0,1.0,1.0,1,R$ 1.530,R$ 579 Condominio,"Rua Marquês de Itu, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5437626,-46.6498096,1530.0
Sé,Rua Riachuelo,36.0,1.0,1.0,0,R$ 1.530,R$ 819 Condominio,"Rua Riachuelo, Sé, São Paulo, São Paulo, Brasil",-23.5506284,-46.6367381,1530.0
Sé,Rua Tabatinguera,23.0,1.0,1.0,0,R$ 1.535,R$ 453 Condominio,"Rua Tabatinguera, Sé, São Paulo, São Paulo, Brasil",-23.5524974,-46.6296068,1535.0
Santa Efigênia,Largo do Arouche,33.0,1.0,1.0,0,R$ 1.540,R$ 545 Condominio,"Largo do Arouche, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5409853,-46.646582,1540.0
Centro,Rua dos Timbiras,37.0,1.0,1.0,1,R$ 1.540,R$ 906 Condominio,"Rua dos Timbiras, Centro, São Paulo, São Paulo, Brasil",-23.5396764,-46.6382299,1540.0
Vila Buarque,Rua Major Sertório,46.0,1.0,1.0,0,R$ 1.541,R$ 490 Condominio,"Rua Major Sertório, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453915,-46.6487475,1541.0
Centro,Rua Brigadeiro Tobias,30.0,1.0,1.0,0,R$ 1.544,R$ 550 Condominio,"Rua Brigadeiro Tobias, Centro, São Paulo, São Paulo, Brasil",-23.539384,-46.6350407,1544.0
Sé,Rua Tabatinguera,23.0,1.0,1.0,0,R$ 1.549,R$ 550 Condominio,"Rua Tabatinguera, Sé, São Paulo, São Paulo, Brasil",-23.5524974,-46.6296068,1549.0
Vila Buarque,"Rua Marquês de Itu, 392",48.0,1.0,1.0,0,R$ 1.550,R$ 660 Condominio,"Rua Marquês de Itu, 392, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5435712,-46.6481885,1550.0
